"Tilltalsnamn, de 100 vanligaste efter bärarnas födelseår efter tilltalsnamn och tid"

"tilltalsnamn","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Jessica",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,12,17,34,81,86,82,126,199,525,833,992,1003,950,952,1174,906,796,835,810,697,675,593,558,602,668,626,665,733,767,794,834,749,611,511,428,332,237,227,191,156,115,111,100,81,66,73,52,69,55,60,51,52,26,33,29,29
"Johanna",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,16,10,..,11,10,14,17,24,27,35,54,58,86,80,114,154,146,193,246,322,426,521,565,641,784,814,820,817,961,1142,1092,978,1122,1106,1092,1160,1222,1321,1427,1474,1454,1524,1350,1132,1017,956,828,712,612,490,487,468,392,272,252,220,163,138,121,93,89,62,67,53,34,35
"Josefin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,12,..,13,17,17,14,17,19,18,22,31,20,66,90,110,109,133,127,191,222,206,243,259,297,328,425,543,623,716,724,790,822,959,993,1116,1251,1312,1372,1269,982,825,709,618,565,550,472,449,434,351,313,243,209,194,178,165,167,147,130,116,122,70
"Julia",..,..,..,..,..,..,..,..,..,..,..,..,..,11,10,..,..,..,..,..,..,..,..,..,11,..,..,..,..,..,11,10,15,..,10,13,..,10,13,..,13,11,11,13,26,14,22,19,21,20,28,28,28,44,40,43,77,61,72,100,110,105,153,141,187,180,185,243,228,315,283,324,398,464,633,884,1167,1119,1158,1099,1088,1226,1175,1262,1240,1178,990,924,955,899,920,842,848,772,863,723,707,683,636,593,538
"Karin",98,110,58,101,157,216,249,353,426,460,555,514,595,648,675,769,849,817,796,849,899,965,953,1038,1005,1116,1228,1369,1512,1549,1604,1608,1557,1532,1494,1435,1525,1494,1392,1313,1301,1330,1289,1243,1148,1187,1168,1135,1198,1183,1164,1062,1030,823,837,901,922,914,965,983,955,900,875,911,855,929,817,712,687,656,576,489,435,414,362,373,299,254,230,193,154,146,93,135,101,99,71,86,65,67,64,73,56,48,46,47,54,39,41,42,33
"Katarina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,11,..,17,16,22,38,44,47,58,74,100,101,126,150,191,214,198,241,218,230,253,272,274,329,373,444,531,548,554,650,1463,2689,1930,1660,1527,1406,1046,914,923,899,752,677,566,445,427,487,488,446,400,351,321,334,312,283,273,254,225,227,171,158,136,138,108,93,94,56,47,47,39,36,26,30,35,29,17,30,26,16,15,14,18,..,15,14,..
"Kerstin",30,32,21,29,52,92,145,155,238,268,333,419,521,559,679,778,819,840,925,1066,1268,1312,1428,1451,1456,1587,1886,2049,2137,2148,2196,1954,2046,1814,1681,1556,1674,1620,1382,1250,1210,1091,978,871,745,649,562,565,480,360,319,303,175,169,160,152,131,86,101,59,95,79,84,74,61,51,67,52,42,29,38,23,34,38,34,34,28,19,14,19,16,15,12,10,25,14,16,29,16,23,35,37,54,57,62,76,95,82,90,92,94
"Klara",12,12,..,..,..,13,12,18,17,14,22,35,19,29,17,24,22,21,25,16,25,24,22,26,30,12,11,14,20,16,24,19,19,20,24,10,18,11,15,19,..,16,14,..,12,..,15,..,15,13,21,16,16,21,22,27,18,25,41,49,57,41,54,86,75,94,78,94,113,143,141,155,169,181,196,241,269,321,425,393,462,510,507,541,592,725,724,718,760,718,734,665,674,599,641,574,584,587,562,549,449
"Kristina",..,..,..,..,18,13,18,10,23,29,37,39,32,35,41,46,48,32,61,63,100,108,137,203,267,335,499,742,1137,1147,1461,1504,1534,1688,1527,1421,1550,1473,1298,1390,1445,1573,1479,1561,1573,1701,1817,1828,2037,1876,2144,1693,1452,1186,1106,1165,985,950,839,798,723,677,609,587,631,531,493,514,442,397,389,341,295,329,255,238,189,194,170,159,109,114,113,88,74,75,55,55,72,44,64,56,52,46,32,41,28,30,39,40,29
"Lena",..,..,..,..,..,..,..,..,..,..,..,..,..,13,24,24,26,46,56,63,103,146,179,267,304,412,529,709,994,1220,1361,1550,1461,1648,1614,1629,1690,1807,1893,2163,2406,2430,2420,2425,2309,2389,2172,2073,2111,1957,1755,1624,1233,1076,910,754,709,561,482,421,302,310,274,337,294,247,319,220,201,151,152,105,105,68,77,68,56,40,29,34,28,19,10,16,10,14,11,17,18,19,18,21,16,35,28,33,42,45,44,53,47
"Lina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,17,21,17,22,21,29,27,34,36,56,91,125,149,176,220,296,356,540,621,648,671,599,578,620,587,615,543,624,563,567,508,517,498,448,399,450,397,312,264,289,286,264,278,247,269,217,172,177,156,164,157,129,127,127,120,107
"Linda",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,11,13,..,13,16,25,56,47,64,60,67,50,49,45,54,70,55,64,84,58,75,85,97,98,89,122,125,148,357,744,1311,2455,3039,2360,2611,2474,2173,2021,1750,1442,1311,1099,1101,1176,1106,959,897,870,839,711,654,541,465,349,251,235,194,152,121,108,101,74,73,55,49,40,39,35,26,34,24,25,26,13,22
"Linnéa",11,13,..,12,19,28,17,33,35,41,39,45,70,45,50,50,56,66,48,39,44,45,59,37,51,48,42,51,55,62,54,64,73,53,42,45,36,39,33,19,23,30,26,17,19,16,16,13,24,13,21,22,21,14,14,26,22,47,34,59,80,84,103,132,181,193,212,226,309,397,486,569,572,649,741,940,986,1119,1072,1046,1047,934,911,966,962,843,933,892,875,853,849,746,751,687,752,715,630,538,591,520,435
"Lisa",10,10,..,10,..,23,17,22,29,30,32,33,52,30,46,38,42,39,41,42,54,60,55,63,48,51,48,61,47,64,81,68,80,83,83,64,60,68,64,72,63,75,66,64,58,55,66,79,98,78,92,106,97,117,131,169,249,264,310,416,381,411,522,538,653,645,578,572,582,546,515,533,583,618,654,693,727,683,654,562,476,375,390,380,415,412,389,352,354,325,312,277,225,214,218,173,201,152,152,116,101
"Lisbeth",..,..,..,..,..,..,..,..,..,10,..,14,15,28,39,41,43,56,61,71,91,98,116,117,159,207,300,450,657,670,726,741,790,700,639,608,561,627,552,546,395,335,300,303,223,232,175,139,136,113,100,78,62,48,55,53,38,22,22,13,21,11,13,17,..,..,10,..,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Louise ",..,..,..,..,..,..,..,..,..,..,..,14,18,..,..,12,15,16,17,23,25,29,26,35,27,35,42,49,89,85,100,75,76,79,85,77,63,74,95,70,64,75,54,54,94,81,80,101,132,137,157,178,164,178,162,145,202,185,235,228,200,203,216,282,283,320,316,326,366,396,380,403,408,484,703,677,698,742,607,513,469,367,315,263,215,230,166,163,155,127,109,98,94,74,63,71,53,63,60,58,51
"Lovisa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,27,28,16,23,46,29,44,44,50,53,58,64,63,58,75,74,88,105,113,133,147,174,193,214,290,369,377,443,441,436,476,435,429,386,397,414,466,490,447,416,425,400,364,355,339,303,310,297,265,241,278
"Madeleine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,18,22,38,30,33,48,45,46,44,40,52,53,60,70,79,69,100,85,109,115,137,183,211,260,321,365,376,386,416,412,357,418,433,376,336,263,258,334,331,299,336,262,436,715,704,780,701,712,723,676,643,669,580,494,418,325,333,300,280,231,219,171,156,139,104,81,51,74,45,49,42,42,32,33,31,39,25
"Maja",17,18,10,16,16,20,24,24,36,29,42,34,41,33,39,35,37,31,33,39,38,35,34,37,31,45,29,40,35,35,34,46,33,37,42,26,31,29,20,28,29,23,19,21,21,28,25,24,26,26,21,22,28,27,34,42,53,61,50,67,58,79,94,102,150,150,161,147,186,190,196,195,244,242,262,256,317,340,404,393,407,382,508,763,766,807,820,875,1065,1047,1040,904,908,906,911,747,726,779,765,678,621
"Malin ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,..,..,12,12,14,..,13,14,11,10,12,22,38,36,46,40,48,155,208,367,605,788,787,1259,1506,1490,1482,1677,1502,1325,1145,1178,1167,1130,1074,1018,1042,1184,1218,1407,1542,1724,1644,1703,1555,1316,1038,839,684,551,465,395,324,255,204,194,188,155,107,107,73,74,51,49,41,31,19,25,21,19
"Margareta",29,29,14,24,44,44,52,80,87,108,141,113,142,119,151,174,200,197,257,311,410,432,503,523,606,707,850,1009,1157,1205,1177,1281,1199,1142,1157,1060,1012,952,831,778,693,679,591,551,423,416,324,304,362,320,247,216,155,123,109,88,84,83,74,62,60,43,41,39,32,26,23,15,19,15,14,18,12,..,..,13,..,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Maria",29,26,..,23,30,43,42,46,56,90,84,65,94,79,99,123,98,104,120,127,141,133,156,155,157,162,189,198,284,315,325,365,389,368,398,399,503,571,596,694,737,1028,1237,1185,1400,1502,1734,2027,2731,3016,2856,3044,2908,2442,2540,2533,2579,2423,2343,2487,2363,2562,2425,2253,2139,1987,1851,1733,1674,1523,1340,1231,1121,952,911,827,762,671,540,440,343,286,270,243,255,210,205,189,204,182,192,191,180,179,191,168,170,170,198,205,244
"Marianne",..,11,..,..,16,35,31,50,61,93,105,135,171,214,302,383,399,457,462,466,459,483,584,579,582,582,718,771,833,873,827,894,990,938,797,794,826,673,639,663,649,678,705,596,478,483,394,375,420,363,382,375,244,213,191,165,138,123,111,122,76,75,69,75,87,74,77,68,80,69,43,54,51,40,28,41,42,35,47,37,26,27,22,32,33,27,28,27,34,31,20,16,26,14,17,13,23,12,15,19,..
"Marie",..,..,..,..,..,..,..,..,..,..,..,..,..,18,16,16,14,18,22,28,25,24,44,34,34,43,52,64,82,115,119,140,155,167,200,257,332,406,498,610,743,1128,1258,1315,1513,1623,1676,1723,1981,1933,2066,1826,1462,1231,1173,1073,1143,1236,1071,890,819,758,747,703,760,676,617,529,516,543,470,377,345,288,264,235,170,139,93,83,58,57,62,43,24,25,26,16,25,30,18,21,25,17,15,13,14,20,..,18,17
"Matilda",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,11,19,23,16,28,35,48,55,67,91,86,92,95,121,135,175,149,166,188,221,292,387,511,643,840,940,894,1032,1025,920,971,936,825,786,817,791,826,657,735,596,486,480,449,501,416,367,346,295,278,255,222
"Moa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,34,27,40,49,61,63,99,78,88,83,107,125,131,177,213,219,252,263,302,401,373,415,762,771,777,717,699,789,752,661,655,604,591,525,509,538,458,419,382,301,264,234
"Mona",..,..,..,..,..,..,..,..,..,..,..,17,16,25,42,55,88,127,162,162,219,340,349,423,462,445,529,551,510,465,515,475,427,381,385,483,394,366,344,317,357,393,370,350,360,383,318,313,253,237,241,200,195,180,169,167,132,130,93,84,71,69,65,76,72,74,85,63,61,72,65,48,48,59,67,54,53,55,54,41,53,46,41,50,46,21,29,24,30,35,28,25,28,36,22,23,25,25,33,23,19
"Monica",..,..,..,..,..,..,..,..,..,..,..,..,..,12,13,31,60,59,67,84,148,183,358,469,628,726,936,1099,1158,1251,1244,1139,1095,1101,1094,1093,987,1267,1087,1085,1174,1065,1006,1062,1028,1018,1105,942,1028,1241,968,733,651,569,649,536,526,454,392,342,292,287,228,240,213,186,166,166,157,139,117,121,94,90,88,82,67,61,52,41,30,25,26,17,17,16,..,..,..,..,11,16,10,..,..,10,10,..,10,..,..
"Natalie",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,10,13,20,22,47,53,47,48,36,54,53,56,59,49,78,78,86,112,163,248,380,408,494,579,675,808,813,703,703,607,533,449,466,411,348,400,386,400,375,351,336,390,361,387,336,269,254,248,202,205,172,129
"Olivia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,14,23,37,35,24,21,25,20,35,39,49,68,77,109,268,348,367,395,447,435,406,384,380,451,386,435,455,492,464,462,522,512,601,698,559,566,603,639,599,562
"Pernilla",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,22,36,49,76,109,207,251,298,444,811,918,1025,1123,894,710,592,534,379,362,323,249,265,262,254,243,225,373,224,209,201,201,225,230,189,131,122,82,57,69,40,26,15,19,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,13,22,23,31,37,45,79,110,139,128,147,210,243,247,271,415,622,768,834,898,911,747,641,708,656,707,660,683,784,701,673,540,468,432,409,315,255,195,162,148,124,113,112,90,75,65,80,61,55,52,29,28,39,31,24,19,15,14,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rebecka",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,12,15,14,16,15,18,22,25,17,22,30,33,50,57,59,64,88,85,71,107,138,202,197,226,245,269,285,297,423,451,466,509,518,574,784,798,872,1104,1262,1182,1023,892,674,546,458,429,444,378,322,323,294,238,247,196,197,169,158,120,123,102,77,72
"Rut",68,71,54,94,124,147,191,241,288,320,391,418,476,494,461,463,468,446,451,382,421,379,335,328,295,299,314,320,303,285,296,282,248,238,204,192,181,147,120,122,88,90,68,65,51,38,35,33,28,18,34,22,17,26,27,27,23,28,26,23,16,17,28,19,22,25,31,18,17,14,23,23,19,10,13,12,11,15,17,..,12,17,17,12,25,19,31,31,31,52,38,70,106,126,117,131,126,138,165,170,162
"Sandra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,18,..,10,11,..,19,18,24,26,31,27,49,39,47,56,61,83,75,91,105,114,182,301,348,474,488,516,629,886,816,827,789,825,874,1004,1471,1594,1564,1483,1539,1254,1152,962,773,565,510,463,401,366,317,285,215,193,183,160,134,96,95,78,70,38,47,32,40,30,31
"Sara",..,10,..,..,17,17,14,32,29,35,31,26,43,44,56,32,58,49,54,52,51,53,56,55,49,60,58,54,59,48,75,81,76,68,83,72,71,72,89,74,101,86,116,128,146,130,133,136,185,203,199,242,291,357,448,562,746,869,1290,1375,1342,1432,1349,1454,1575,1513,1500,1436,1301,1524,1439,1604,2028,2423,2116,1946,1649,1465,1431,1408,1154,986,883,865,908,781,774,659,635,714,617,637,575,543,494,432,425,378,395,374,369
"Siv",..,..,..,..,11,21,26,36,41,83,109,166,210,360,392,536,695,752,829,821,836,925,946,995,920,927,879,945,949,905,827,709,710,672,593,610,551,523,457,417,383,382,326,298,249,189,161,137,133,124,93,58,60,32,48,33,29,25,17,20,15,..,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,16,13,12,14,17
"Sofia",..,..,..,..,..,..,..,..,..,..,..,..,11,12,..,..,11,11,13,21,16,18,19,12,19,15,16,20,27,25,35,34,28,34,35,25,36,32,42,37,34,34,35,43,39,50,57,70,95,131,158,181,232,316,435,524,588,657,699,734,812,807,799,765,790,766,922,845,851,986,993,1044,1050,1147,1297,1200,1158,953,933,842,759,673,594,535,521,506,466,473,415,414,415,376,320,378,323,324,356,341,366,362,306
"Sofie",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,16,21,22,22,34,28,47,50,90,64,79,82,137,151,183,182,203,219,247,292,295,295,362,380,380,548,522,651,705,702,785,713,746,750,909,782,827,714,543,435,385,386,281,235,193,185,191,191,177,154,132,132,140,139,132,143,134,111,124,107,79
"Sonja",26,35,13,24,51,56,72,86,105,118,150,163,205,281,339,365,403,412,432,385,448,456,448,463,426,422,403,485,517,404,356,361,340,311,267,230,226,191,196,181,167,149,141,106,89,79,92,79,71,71,73,68,67,65,73,75,69,79,58,58,55,54,46,47,50,44,41,50,30,38,39,55,55,48,57,60,41,40,46,38,42,27,49,40,26,36,55,54,52,56,65,75,84,82,91,95,88,103,103,71,82
"Susanne",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,..,17,19,15,18,28,27,77,73,75,94,118,136,184,230,303,373,467,615,750,878,1039,1170,1480,1882,2161,2057,2358,2231,2230,1923,1768,1431,1255,1187,997,800,772,710,586,522,450,435,394,318,352,341,304,320,280,248,199,175,140,117,81,75,44,55,40,27,40,30,31,20,23,..,13,26,13,20,17,19,15,11,12,..,..,..,11
"Therese",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,15,12,15,15,17,15,23,27,20,34,36,29,43,54,99,98,136,192,380,395,486,522,605,624,747,837,899,940,932,1102,1066,1087,1183,1119,1027,1034,968,935,838,845,791,703,605,520,376,316,250,206,173,155,98,84,62,54,37,34,27,28,20,17,12,12,10,10,..,10,..
"Ulla",..,..,19,22,58,97,103,162,245,308,439,471,507,601,676,839,857,830,866,895,1016,991,995,1003,1065,1060,1351,1603,1607,1593,1636,1501,1334,1215,1051,986,958,921,802,643,601,563,477,397,312,284,236,183,185,152,104,87,63,43,44,36,30,20,15,24,22,21,18,13,15,10,11,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Ulrika",..,..,..,..,..,..,..,..,..,..,..,..,12,..,11,..,..,11,13,10,12,15,13,13,18,13,14,15,23,24,26,34,26,36,25,34,42,46,49,61,78,97,76,109,177,271,337,389,606,925,1106,1209,1385,1426,1444,1385,1454,1582,1186,878,633,595,508,377,349,272,261,215,200,200,143,148,128,123,97,88,86,70,51,42,34,25,32,11,..,14,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Viktoria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,15,13,..,12,15,11,16,23,18,15,13,15,18,13,15,24,20,27,21,21,34,29,52,88,140,291,315,333,331,387,375,397,394,379,263,138,162,171,176,196,227,242,291,278,293,331,384,473,540,602,535,506,428,353,361,342,325,289,248,236,250,177,191,174,147,168,164,141,145,137,137,139,118,117
"Wilma",..,..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..,..,..,..,..,19,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,13,..,..,..,..,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,25,33,47,49,55,157,875,869,1076,925,857,842,776,724,855,911,708,701,690,660,577,598,583,593,527
"Yvonne",..,..,..,..,..,..,..,..,..,..,..,..,..,14,26,24,30,38,33,56,69,119,175,155,191,224,293,373,458,510,576,569,529,561,540,635,684,754,739,757,789,694,652,565,582,518,411,407,433,355,350,273,230,158,129,130,89,69,66,63,47,46,34,32,27,24,21,15,17,17,16,14,15,14,13,..,..,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Åsa",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,16,11,10,21,11,24,27,26,44,39,69,55,90,86,105,130,178,163,174,159,151,213,216,259,288,321,383,456,496,555,683,870,811,959,1027,1261,1333,1331,1250,1297,1372,1434,1348,1150,893,841,706,578,503,424,368,320,275,194,174,206,160,150,128,87,85,64,59,55,33,19,13,17,12,17,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..
