"Tilltalsnamn, de 100 vanligaste efter bärarnas födelseår efter tilltalsnamn och tid"

"tilltalsnamn","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ann-Marie",..,..,..,12,17,25,35,52,55,69,84,125,148,177,246,240,229,273,264,303,311,278,391,343,295,348,382,412,408,440,479,561,625,512,494,473,447,411,409,386,377,356,335,284,271,227,215,246,247,244,214,194,168,141,121,90,119,95,72,64,60,53,42,37,37,41,28,22,30,11,17,12,14,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Astrid",37,54,17,38,54,66,80,133,122,143,209,311,370,310,290,261,275,254,252,368,382,337,341,299,258,270,261,244,279,241,235,235,174,177,152,143,133,137,127,104,87,61,81,62,51,48,49,43,40,22,30,30,27,29,32,29,18,12,13,21,13,23,17,20,21,26,29,21,..,28,28,32,41,61,52,59,67,74,95,88,81,92,95,102,124,115,120,141,171,175,241,269,327,406,436,424,454,440,464,488,510
"Barbro",13,11,..,..,20,27,43,66,85,114,158,187,245,277,361,406,506,541,562,644,746,734,744,796,830,848,1040,1047,1038,1130,1036,1018,1029,851,791,658,629,605,577,473,419,347,332,282,212,195,167,142,137,116,93,67,61,41,34,31,33,27,21,15,16,13,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Berit",..,..,..,..,..,..,..,12,28,33,44,85,102,150,217,288,419,454,484,557,625,678,869,898,778,754,832,821,804,795,778,714,669,640,578,523,537,482,419,425,338,328,343,254,235,181,170,126,144,141,102,89,64,36,52,36,27,22,20,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Birgit",55,55,27,42,66,75,118,145,217,274,292,343,399,388,422,417,423,377,462,479,546,574,490,557,486,462,473,439,458,471,441,353,367,318,316,240,219,210,157,146,131,124,101,125,94,101,82,66,52,43,41,33,19,21,18,15,18,14,16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Birgitta",..,..,..,..,15,18,36,32,42,52,48,52,86,88,123,121,145,299,363,424,529,916,993,1058,1212,1409,1573,1834,1850,1769,1739,1670,1674,1543,1300,1181,1208,1126,1081,1015,1064,1063,1044,890,866,890,734,686,648,637,480,355,257,196,183,150,101,98,80,63,52,30,43,31,25,28,32,..,25,..,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Britt",..,11,..,15,27,42,48,64,68,101,125,144,164,224,246,258,289,304,351,366,459,457,503,533,510,524,654,713,696,758,726,737,732,653,611,505,549,477,468,406,388,375,289,264,203,173,134,106,127,97,88,61,56,41,35,30,26,29,19,11,13,13,13,..,10,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Britt-Marie",..,..,..,..,..,..,..,..,..,12,14,12,23,30,34,41,49,47,47,70,63,110,113,179,220,263,378,532,631,639,602,752,762,756,780,715,620,561,516,481,468,393,371,334,273,389,266,206,188,200,157,153,91,63,45,41,23,16,20,12,13,10,..,11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Camilla",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,..,15,14,12,18,26,15,24,21,32,29,35,55,55,79,65,123,199,330,466,615,839,1845,1811,1797,1608,1490,1258,1090,877,767,673,1018,807,736,648,599,562,598,558,555,606,510,541,509,441,420,333,245,201,153,94,79,72,46,43,38,34,40,19,32,28,19,23,19,22,19,13,16,19,19,23
"Carina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..,17,18,17,16,11,18,56,60,88,113,130,181,193,222,279,238,259,296,347,512,696,683,1006,1078,2236,2402,2122,2181,2199,2175,1950,1709,1603,1200,1023,883,745,584,492,392,344,286,246,213,189,179,142,161,111,116,89,78,64,56,57,41,29,36,27,25,19,14,25,18,10,..,..,..,..,10,11,13,..,..,..,..,..,..,..,10,..,..
